iter	Passed	Remaining
638	4446	9469
639	4452	9462
640	4459	9454
641	4467	9449
642	4473	9441
643	4480	9434
644	4488	9430
645	4496	9423
646	4503	9418
647	4510	9411
648	4517	9404
649	4524	9396
650	4531	9389
651	4537	9380
652	4544	9373
653	4551	9367
654	4558	9359
655	4565	9353
656	4571	9345
657	4579	9339
658	4585	9331
659	4592	9324
660	4599	9316
661	4605	9308
662	4614	9306
663	4621	9298
664	4629	9292
665	4635	9284
666	4642	9277
667	4649	9271
668	4656	9263
669	4663	9257
670	4669	9249
671	4677	9243
672	4684	9236
673	4692	9230
674	4698	9223
675	4704	9214
676	4711	9207
677	4718	9199
678	4725	9194
679	4732	9186
680	4739	9179
681	4746	9172
682	4752	9164
683	4759	9157
684	4766	9149
685	4773	9143
686	4779	9135
687	4786	9127
688	4793	9120
689	4800	9113
690	4807	9107
691	4814	9099
692	4821	9092
693	4827	9084
694	4834	9077
695	4841	9071
696	4848	9063
697	4855	9056
698	4862	9049
699	4868	9042
700	4875	9035
701	4882	9027
702	4889	9021
703	4896	9014
704	4904	9009
705	4911	9001
706	4918	8994
707	4925	8987
708	4931	8980
709	4938	8973
710	4944	8964
711	4952	8959
712	4959	8952
713	4966	8946
714	4974	8940
715	4981	8932
716	4988	8925
717	4994	8918
718	5002	8911
719	5008	8903
720	5015	8896
721	5022	8889
722	5028	8881
723	5035	8874
724	5042	8867
725	5049	8860
726	5055	8852
727	5061	8844
728	5069	8838
729	5075	8830
730	5083	8824
731	5090	8817
732	5097	8810
733	5104	8804
734	5111	8796
735	5118	8789
736	5124	8782
737	5132	8776
738	5138	8768
739	5146	8762
740	5152	8755
741	5159	8746
742	5167	8742
743	5174	8735
744	5182	8729
745	5188	8722
746	5196	8715
747	5203	8708
748	5209	8701
749	5216	8694
750	5223	8686
751	5230	8680
752	5236	8672
753	5243	8665
754	5250	8657
755	5256	8650
756	5263	8643
757	5270	8635
758	5277	8629
759	5285	8623
760	5292	8617
761	5299	8609
762	5306	8602
763	5313	8596
764	5321	8591
765	5329	8585
766	5336	8578
767	5344	8573
768	5351	8566
769	5359	8561
770	5367	8555
771	5376	8551
772	5384	8546
773	5392	8541
774	5399	8535
775	5408	8530
776	5415	8524
777	5424	8519
778	5432	8514
779	5439	8507
780	5445	8499
781	5452	8492
782	5460	8487
783	5468	8481
784	5476	8476
785	5484	8471
786	5496	8471
787	5506	8469
788	5516	8466
789	5525	8462
790	5533	8457
791	5544	8456
792	5551	8450
793	5560	8445
794	5569	8441
795	5576	8434
796	5583	8427
797	5591	8421
798	5598	8414
799	5605	8408
800	5612	8401
801	5619	8394
802	5626	8387
803	5633	8380
804	5641	8374
805	5648	8367
806	5654	8359
807	5661	8352
808	5669	8346
809	5677	8340
810	5686	8336
811	5693	8329
812	5700	8322
813	5707	8315
814	5713	8307
815	5720	8300
816	5726	8292
817	5734	8286
818	5741	8278
819	5747	8271
820	5754	8263
821	5761	8256
822	5768	8249
823	5774	8241
824	5782	8235
825	5788	8227
826	5796	8221
827	5804	8215
828	5810	8207
829	5817	8201
830	5824	8193
831	5832	8187
832	5838	8179
833	5845	8173
834	5852	8165
835	5859	8158
836	5866	8151
837	5873	8143
838	5880	8137
839	5887	8130
840	5895	8124
841	5902	8117
842	5909	8111
843	5917	8105
844	5924	8097
845	5931	8090
846	5937	8083
847	5945	8077
848	5952	8069
849	5958	8061
850	5965	8053
851	5971	8046
852	5978	8039
853	5985	8032
854	5992	8025
855	5999	8017
856	6005	8009
857	6013	8004
858	6020	7996
859	6027	7990
860	6034	7982
861	6041	7975
862	6048	7969
863	6055	7961
864	6063	7955
865	6069	7947
866	6077	7941
867	6083	7934
868	6091	7927
869	6097	7919
870	6103	7911
871	6111	7905
872	6117	7897
873	6124	7890
874	6131	7883
875	6137	7875
876	6145	7868
877	6151	7861
878	6158	7854
879	6165	7846
880	6172	7839
881	6178	7832
882	6185	7824
883	6192	7817
884	6198	7809
885	6206	7803
886	6213	7796
887	6220	7789
888	6227	7782
889	6234	7775
890	6240	7767
891	6247	7759
892	6254	7753
893	6260	7745
894	6268	7738
895	6275	7731
896	6281	7724
897	6288	7717
898	6294	7709
899	6301	7702
900	6308	7695
901	6315	7687
902	6323	7682
903	6330	7675
904	6338	7668
905	6344	7661
906	6352	7655
907	6359	7647
908	6365	7640
909	6372	7633
910	6379	7625
911	6386	7618
912	6393	7611
913	6401	7605
914	6407	7598
915	6415	7591
916	6422	7585
917	6429	7577
918	6436	7570
919	6442	7563
920	6450	7556
921	6456	7549
922	6463	7542
923	6471	7536
924	6478	7528
925	6485	7522
926	6492	7514
927	6499	7508
928	6506	7501
929	6514	7495
930	6521	7487
931	6528	7480
932	6536	7474
933	6542	7467
934	6549	7460
935	6556	7453
936	6565	7447
937	6571	7440
938	6580	7435
939	6587	7427
940	6593	7420
941	6601	7414
942	6608	7407
943	6615	7400
944	6621	7392
945	6629	7386
946	6636	7379
947	6644	7373
948	6651	7366
949	6658	7359
950	6665	7352
951	6672	7344
952	6679	7338
953	6685	7330
954	6693	7323
955	6699	7316
956	6706	7309
957	6713	7302
958	6720	7294
959	6728	7289
960	6735	7281
961	6742	7275
962	6749	7267
963	6756	7261
964	6763	7253
965	6769	7246
966	6777	7240
967	6784	7232
968	6791	7226
969	6798	7218
970	6805	7211
971	6811	7204
972	6817	7196
973	6825	7189
974	6831	7181
975	6838	7174
976	6845	7168
977	6852	7160
978	6859	7153
979	6866	7146
980	6873	7140
981	6881	7133
982	6888	7126
983	6895	7119
984	6902	7112
985	6908	7104
986	6915	7097
987	6923	7091
988	6930	7084
989	6937	7077
990	6944	7070
991	6951	7063
992	6958	7056
993	6964	7049
994	6972	7042
995	6978	7034
996	6985	7027
997	6992	7020
998	6999	7013
999	7006	7006
1000	7012	6998
1001	7020	6992
1002	7027	6985
1003	7035	6979
1004	7042	6972
1005	7049	6965
1006	7057	6959
1007	7065	6953
1008	7072	6946
1009	7079	6939
1010	7086	6932
1011	7093	6925
1012	7101	6919
1013	7109	6913
1014	7117	6906
1015	7124	6899
1016	7133	6894
1017	7140	6887
1018	7148	6882
1019	7157	6876
1020	7165	6870
1021	7172	6863
1022	7180	6857
1023	7188	6851
1024	7195	6844
1025	7203	6838
1026	7211	6832
1027	7218	6825
1028	7226	6818
1029	7234	6813
1030	7242	6806
1031	7250	6801
1032	7258	6794
1033	7266	6788
1034	7273	6781
1035	7282	6776
1036	7290	6769
1037	7298	6764
1038	7306	6757
1039	7314	6751
1040	7322	6745
1041	7330	6739
1042	7338	6733
1043	7347	6728
1044	7355	6721
1045	7364	6716
1046	7371	6710
1047	7380	6704
1048	7387	6697
1049	7396	6691
1050	7404	6685
1051	7412	6679
1052	7420	6673
1053	7428	6667
1054	7435	6660
1055	7444	6654
1056	7451	6648
1057	7461	6643
1058	7469	6637
1059	7477	6631
1060	7486	6625
1061	7494	6619
1062	7502	6612
1063	7510	6607
1064	7518	6600
1065	7526	6594
1066	7534	6588
1067	7543	6582
1068	7551	6576
1069	7562	6572
1070	7570	6566
1071	7579	6560
1072	7587	6554
1073	7594	6548
1074	7602	6541
1075	7610	6535
1076	7618	6529
1077	7626	6522
1078	7633	6516
1079	7641	6509
1080	7652	6505
1081	7662	6501
1082	7672	6496
1083	7681	6491
1084	7691	6486
1085	7700	6480
1086	7709	6475
1087	7718	6470
1088	7727	6464
